Dia,Cepa,Calidad,Result
Dia 13,CS,1000,"[(Tanque 11 de la bodega Nancagua, 90.75)]"
Dia 16,G,1000,"[(Tanque 6 de la bodega Machali, 63.69)]"
Dia 16,CS,3000,"[(Tanque 13 de la bodega Nancagua, 47.5)]"
Dia 17,CS,3000,"[(Tanque 3 de la bodega Nancagua, 47.5)]"
Dia 23,CS,1000,"[(Tanque 2 de la bodega Nancagua, 70.79)]"
Dia 25,V,3000,"[(Tanque 7 de la bodega Machali, 28.5)]"
Dia 25,Ch,3000,"[(Tanque 4 de la bodega Nancagua, 46.02)]"
Dia 26,CS,1000,"[(Tanque 1 de la bodega Chepica, 66.56)]"
Dia 27,CS,1000,"[(Tanque 11 de la bodega Machali, 64.46)]"
Dia 28,CS,1000,"[(Tanque 3 de la bodega Machali, 28.5)]"
Dia 29,Ch,6000,"[(Tanque 9 de la bodega Machali, 28.5)]"
Dia 29,CS,3000,"[(Tanque 12 de la bodega Machali, 47.5)]"
Dia 30,SB,3000,"[(Tanque 13 de la bodega Nancagua, 39.59)]"
Dia 31,CS,6000,"[(Tanque 10 de la bodega Machali, 68.63999999999999)]"
Dia 31,CS,3000,"[(Tanque 12 de la bodega Nancagua, 95.0)]"
Dia 32,SB,3000,"[(Tanque 5 de la bodega Machali, 61.34)]"
Dia 34,SB,1000,"[(Tanque 3 de la bodega Chepica, 42.18)]"
Dia 34,CS,3000,"[(Tanque 10 de la bodega Nancagua, 47.5)]"
Dia 35,CS,3000,"[(Tanque 6 de la bodega Machali, 62.449999999999996)]"
Dia 35,SB,3000,"[(Tanque 1 de la bodega Machali, 81.13)]"
Dia 36,S,3000,"[(Tanque 6 de la bodega Nancagua, 47.5)]"
Dia 37,SB,6000,"[(Tanque 7 de la bodega Machali, 28.5)]"
Dia 37,CS,3000,"[(Tanque 13 de la bodega Machali, 47.5)]"
Dia 39,Ch,1000,"[(Tanque 2 de la bodega Machali, 56.25)]"
Dia 40,SB,3000,"[(Tanque 11 de la bodega Machali, 65.99000000000001)]"
Dia 41,CS,1000,"[(Tanque 8 de la bodega Nancagua, 70.93)]"
Dia 41,C,1000,"[(Tanque 3 de la bodega Nancagua, 39.15)]"
Dia 43,Ch,1000,"[(Tanque 1 de la bodega Chepica, 59.51)]"
Dia 43,Ch,3000,"[(Tanque 13 de la bodega Nancagua, 42.76)]"
Dia 44,C,1000,"[(Tanque 7 de la bodega Nancagua, 65.27)]"
Dia 46,M,6000,"[(Tanque 9 de la bodega Machali, 28.5)]"
Dia 47,Ch,3000,"[(Tanque 12 de la bodega Machali, 40.94)]"
Dia 48,SB,6000,"[(Tanque 4 de la bodega Nancagua, 47.5)]"
Dia 49,CS,6000,"[(Tanque 7 de la bodega Machali, 25.78)]"
Dia 49,M,6000,"[(Tanque 10 de la bodega Nancagua, 45.82)]"
Dia 50,C,1000,"[(Tanque 5 de la bodega Machali, 68.06)]"
Dia 50,SB,3000,"[(Tanque 6 de la bodega Nancagua, 44.64)]"
Dia 51,CF,1000,"[(Tanque 13 de la bodega Machali, 42.11)]"
Dia 51,M,1000,"[(Tanque 3 de la bodega Chepica, 41.01)]"
Dia 54,CS,3000,"[(Tanque 6 de la bodega Chepica, 46.31)]"
Dia 55,CF,3000,"[(Tanque 3 de la bodega Machali, 25.64)]"
Dia 55,C,3000,"[(Tanque 3 de la bodega Nancagua, 47.13)]"
Dia 56,S,1000,"[(Tanque 1 de la bodega Machali, 85.69)]"
Dia 60,S,1000,"[(Tanque 1 de la bodega Chepica, 63.59)]"
Dia 61,SB,6000,"[(Tanque 9 de la bodega Machali, 28.5)]"
Dia 62,CF,3000,"[(Tanque 7 de la bodega Machali, 28.49)]"
Dia 63,C,3000,"[(Tanque 4 de la bodega Nancagua, 47.5)]"
Dia 64,CS,6000,"[(Tanque 12 de la bodega Machali, 37.5)]"
Dia 64,M,1000,"[(Tanque 8 de la bodega Machali, 91.82)]"
Dia 66,CS,3000,"[(Tanque 13 de la bodega Machali, 47.13)]"
Dia 69,CS,3000,"[(Tanque 1 de la bodega Nancagua, 56.25)]"
Dia 69,CS,1000,"[(Tanque 12 de la bodega Nancagua, 95.0), (Tanque 3 de la bodega Nancagua, 38.72)]"
Dia 70,CS,6000,"[(Tanque 3 de la bodega Machali, 23.36)]"
Dia 73,C,3000,"[(Tanque 3 de la bodega Chepica, 45.16)]"
Dia 76,C,3000,"[(Tanque 7 de la bodega Machali, 27.810000000000002), (Tanque 9 de la bodega Machali, 22.5)]"
